hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
Resort Hotel,1,4,2015,October,41,7,0,1,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,58,0,3,Canceled,########
City Hotel,0,3,2015,August,35,23,2,0,2,0,0,BB,ESP,Direct,Direct,0,0,0,A,A,0,No Deposit,14,NULL,0,Transient,75,0,1,Check-Out,25-08-2015
City Hotel,1,414,2015,December,49,5,2,1,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Transient,62,0,0,Canceled,23-07-2015
City Hotel,0,20,2015,July,30,22,0,2,1,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1,NULL,0,Transient-Party,0,0,0,Check-Out,24-07-2015
City Hotel,0,117,2015,August,31,1,2,1,2,0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,17,NULL,0,Transient-Party,94.5,0,0,Check-Out,4/8/2015
Resort Hotel,0,34,2015,September,40,28,3,7,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,40,NULL,0,Contract,39.95,0,0,Check-Out,########
City Hotel,1,45,2015,October,44,29,0,3,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,3,NULL,0,Transient,70,0,0,Canceled,30-09-2015
City Hotel,1,276,2015,July,30,20,1,1,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Transient-Party,62,0,0,Canceled,2/7/2015
Resort Hotel,0,51,2015,October,43,22,1,3,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240,NULL,0,Transient,47,0,1,Check-Out,26-10-2015
Resort Hotel,1,253,2015,September,37,12,2,5,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,96,NULL,0,Transient,58.95,0,0,Canceled,17-06-2015
Resort Hotel,0,3,2015,September,37,10,0,1,1,0,0,BB,PRT,Complementary,Direct,0,0,0,C,H,0,No Deposit,NULL,NULL,0,Transient,0,0,0,Check-Out,########
Resort Hotel,0,22,2015,October,43,20,0,5,3,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,F,0,No Deposit,171,NULL,0,Transient,88.67,0,0,Check-Out,25-10-2015
Resort Hotel,0,40,2015,August,33,9,2,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,172,0,0,Check-Out,########
City Hotel,1,104,2015,August,36,30,2,1,2,0,0,HB,ESP,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1,NULL,0,Transient,90,0,0,Canceled,22-07-2015
City Hotel,1,295,2015,August,32,8,2,2,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,1,NULL,0,Transient-Party,62,0,0,Canceled,6/7/2015
Resort Hotel,0,80,2015,October,43,18,4,5,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,A,G,0,No Deposit,147,NULL,0,Transient,81.34,0,0,Check-Out,27-10-2015
City Hotel,0,1,2015,August,32,5,0,2,3,0,0,BB,DEU,Direct,Direct,0,0,0,A,D,0,No Deposit,NULL,NULL,0,Transient-Party,105,0,2,Check-Out,7/8/2015
City Hotel,0,17,2015,October,41,4,2,3,2,0,0,BB,FRA,Direct,Direct,0,0,0,A,A,0,No Deposit,14,NULL,0,Transient,95,0,0,Check-Out,########
Resort Hotel,0,117,2015,September,37,8,2,5,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,C,0,No Deposit,156,NULL,0,Contract,101.53,0,0,Check-Out,15-09-2015
Resort Hotel,0,1,2015,October,41,6,0,1,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,No Deposit,NULL,NULL,0,Transient-Party,55,1,1,Check-Out,########
Resort Hotel,0,42,2015,September,38,16,0,3,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,86,1,1,Check-Out,19-09-2015
City Hotel,1,323,2015,September,36,5,2,2,1,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,No Deposit,1,NULL,0,Transient-Party,60,0,0,Canceled,6/7/2015
City Hotel,1,343,2015,September,39,25,2,3,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,1,Non Refund,1,NULL,0,Transient,170,0,0,Canceled,9/9/2015
Resort Hotel,0,241,2015,September,39,20,2,4,2,0,0,BB,PRT,Direct,Corporate,0,0,0,A,H,0,No Deposit,NULL,246,0,Transient,74,0,0,Check-Out,26-09-2015
City Hotel,0,1,2015,September,37,9,0,2,1,0,0,BB,FRA,Corporate,Corporate,0,0,0,A,D,0,No Deposit,NULL,68,0,Transient-Party,90,0,0,Check-Out,########
Resort Hotel,0,90,2015,July,29,12,2,5,2,0,1,FB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,5,NULL,0,Transient-Party,117.22,1,2,Check-Out,19-07-2015
City Hotel,0,63,2015,September,36,4,0,2,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,21,NULL,0,Transient-Party,116,0,0,Check-Out,6/9/2015
City Hotel,0,3,2015,August,33,9,2,3,1,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,14,NULL,0,Transient,67,0,0,Check-Out,14-08-2015
City Hotel,0,36,2015,October,42,13,0,3,1,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,26,NULL,0,Transient-Party,91,0,0,Check-Out,16-10-2015
Resort Hotel,0,37,2015,July,30,19,2,3,2,0,0,HB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,250,NULL,0,Transient,146.95,0,2,Check-Out,24-07-2015
Resort Hotel,0,93,2015,September,37,9,2,8,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,95,NULL,0,Transient,90,0,0,Check-Out,19-09-2015
City Hotel,0,162,2015,September,38,17,0,3,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3,NULL,0,Transient-Party,70,0,1,Check-Out,20-09-2015
Resort Hotel,0,0,2015,December,52,25,0,1,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,55,0,1,Check-Out,26-12-2015
City Hotel,1,21,2015,November,46,13,0,2,2,0,0,BB,PRT,Complementary,Direct,0,1,0,G,G,0,No Deposit,NULL,NULL,0,Transient,0,0,1,Canceled,########
Resort Hotel,0,25,2015,July,30,24,2,5,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,1,No Deposit,250,NULL,0,Transient,115,0,0,Check-Out,31-07-2015
Resort Hotel,0,178,2015,September,37,12,0,1,2,0,0,BB,SWE,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,251,NULL,0,Transient,61.65,0,0,Check-Out,13-09-2015
City Hotel,0,74,2015,September,38,18,0,2,1,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6,NULL,0,Transient-Party,87,0,0,Check-Out,20-09-2015
Resort Hotel,1,5,2015,July,28,5,1,0,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,97,0,0,Canceled,1/7/2015
Resort Hotel,0,29,2015,July,30,21,2,8,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241,NULL,0,Transient,103.18,0,1,Check-Out,31-07-2015
City Hotel,0,39,2015,August,33,10,1,1,2,0,0,BB,ESP,Groups,TA/TO,0,0,0,A,D,0,No Deposit,1,NULL,0,Transient-Party,62,0,0,Check-Out,########
Resort Hotel,0,54,2015,September,36,5,2,5,2,0,0,BB,CN,Direct,Direct,0,0,0,A,A,0,No Deposit,250,NULL,0,Transient,98,0,2,Check-Out,########
Resort Hotel,1,182,2015,July,27,4,2,6,1,0,0,HB,PRT,Online TA,TA/TO,0,1,0,A,A,0,No Deposit,240,NULL,0,Transient,88,0,1,Canceled,14-05-2015
City Hotel,1,79,2015,November,46,13,0,2,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,60,NULL,69,Transient,70,0,0,Canceled,########
Resort Hotel,0,12,2015,October,44,31,1,1,1,0,0,BB,PRT,Groups,Direct,0,0,0,A,A,0,No Deposit,NULL,NULL,0,Transient,36,0,1,Check-Out,########
Resort Hotel,0,43,2015,December,53,29,0,1,2,0,0,BB,IRL,Online TA,TA/TO,1,0,2,E,E,0,No Deposit,115,NULL,0,Group,71.1,0,1,Check-Out,30-12-2015
Resort Hotel,1,101,2015,September,37,12,0,1,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,NULL,0,Transient,153,0,1,Canceled,23-06-2015
Resort Hotel,0,82,2015,September,39,23,2,5,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,142,NULL,0,Transient,89.2,0,0,Check-Out,30-09-2015
City Hotel,0,221,2015,October,41,10,2,1,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,3,NULL,0,Transient-Party,65,0,0,Check-Out,13-10-2015
Resort Hotel,0,9,2015,July,27,3,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240,NULL,0,Transient,98,1,2,Check-Out,4/7/2015
City Hotel,0,76,2015,September,38,16,0,2,2,0,0,BB,ESP,Groups,TA/TO,0,0,0,A,B,0,No Deposit,1,NULL,0,Transient-Party,62,0,0,Check-Out,18-09-2015
City Hotel,0,179,2015,August,36,31,1,3,1,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,77.56,0,1,Check-Out,4/9/2015
Resort Hotel,0,0,2015,November,46,10,0,2,1,0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,NULL,NULL,0,Transient,50,0,0,Check-Out,########
City Hotel,0,257,2015,July,27,1,0,2,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6,NULL,0,Transient,101.5,0,0,Check-Out,3/7/2015
City Hotel,0,135,2015,September,38,14,1,2,2,0,0,BB,CN,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6,NULL,0,Transient-Party,90,0,0,Check-Out,17-09-2015
Resort Hotel,0,207,2015,September,39,26,1,1,1,0,0,HB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,208,NULL,0,Transient-Party,64,0,1,Check-Out,28-09-2015
City Hotel,0,6,2015,December,51,16,0,1,1,0,0,BB,UKR,Online TA,TA/TO,0,0,0,A,A,4,No Deposit,9,NULL,0,Transient,81,0,1,Check-Out,17-12-2015
City Hotel,0,63,2015,September,36,4,0,2,2,0,0,HB,ITA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,21,NULL,0,Transient-Party,116,0,0,Check-Out,6/9/2015
City Hotel,1,290,2015,August,32,3,1,1,2,0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1,NULL,0,Contract,62,0,0,Canceled,1/1/2015
City Hotel,0,7,2015,November,47,16,1,0,1,0,0,BB,ESP,Corporate,Corporate,0,0,0,A,A,0,No Deposit,NULL,142,0,Transient,79,0,0,Check-Out,17-11-2015
Resort Hotel,1,10,2015,August,31,1,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,G,G,1,No Deposit,NULL,NULL,0,Transient-Party,252,0,0,Canceled,29-07-2015
City Hotel,1,32,2015,November,47,20,0,2,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,No Deposit,119,NULL,0,Transient-Party,73,0,0,Canceled,########
Resort Hotel,0,16,2015,August,32,2,2,5,3,0,0,BB,FRA,Online TA,TA/TO,0,0,0,F,G,0,No Deposit,241,NULL,0,Transient,188.46,0,1,Check-Out,9/8/2015
