hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
City Hotel,0,68,2017,January,4,28,2,3,2,1,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,22,NULL,0,Transient,114.75,0,0,Check-Out,2/2/2017
Resort Hotel,0,0,2017,July,28,13,0,1,1,0,0,BB,PRT,Corporate,Corporate,0,0,0,E,E,0,No Deposit,NULL,34,0,Transient,130,0,0,Check-Out,14-07-2017
City Hotel,0,37,2017,July,30,27,0,3,2,0,0,BB,SWE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,170,0,1,Check-Out,30-07-2017
Resort Hotel,0,32,2017,February,7,13,1,3,1,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,241,NULL,0,Transient,41.87,0,1,Check-Out,17-02-2017
City Hotel,1,24,2017,August,31,2,0,4,1,0,0,BB,CIV,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,NULL,0,Transient,144.5,0,1,Canceled,13-07-2017
City Hotel,1,109,2017,April,17,26,2,5,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,120.86,0,0,Canceled,24-04-2017
Resort Hotel,0,1,2017,February,9,28,0,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240,NULL,0,Transient,48,0,1,Check-Out,1/3/2017
City Hotel,1,45,2017,April,14,7,0,2,2,0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,135,0,0,Canceled,########
Resort Hotel,1,73,2017,April,15,15,2,1,1,1,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241,NULL,0,Transient,68.33,0,0,Canceled,1/2/2017
Resort Hotel,0,2,2017,May,20,15,1,0,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,67,1,1,Check-Out,16-05-2017
City Hotel,0,22,2017,April,17,23,2,0,1,0,0,BB,PRT,Complementary,Direct,0,0,0,D,D,1,No Deposit,NULL,NULL,0,Transient,0,1,0,Check-Out,25-04-2017
City Hotel,1,82,2017,April,16,21,2,2,3,0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,171,0,0,Canceled,31-01-2017
City Hotel,0,181,2017,June,26,27,0,2,2,0,0,BB,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,126,1,0,Check-Out,29-06-2017
Resort Hotel,0,245,2017,May,19,9,0,3,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,177,NULL,0,Transient,43.2,0,1,Check-Out,########
Resort Hotel,1,45,2017,June,25,18,2,4,2,0,0,HB,IRL,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,203.67,0,0,Canceled,18-05-2017
City Hotel,1,169,2017,April,14,8,2,5,2,2,0,BB,DEU,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9,NULL,0,Transient,191.57,0,1,Canceled,22-10-2016
City Hotel,0,51,2017,July,28,11,0,4,2,3,0,BB,MEX,Online TA,TA/TO,0,0,0,G,G,1,No Deposit,8,NULL,0,Transient,321.5,0,1,Check-Out,15-07-2017
Resort Hotel,1,110,2017,July,26,1,2,2,2,0,0,BB,CN,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,165,0,1,Canceled,19-03-2017
Resort Hotel,0,83,2017,August,34,20,2,5,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,196,NULL,0,Transient,291.43,1,0,Check-Out,27-08-2017
City Hotel,0,4,2017,January,5,31,0,1,1,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28,NULL,0,Transient,75,0,0,Check-Out,1/2/2017
City Hotel,0,9,2017,April,17,28,1,2,2,2,0,BB,BGR,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,9,NULL,0,Transient,234,0,1,Check-Out,1/5/2017
Resort Hotel,1,194,2017,July,29,17,3,6,2,2,0,HB,CHE,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,NULL,0,Transient,290.67,0,0,Canceled,6/7/2017
City Hotel,0,55,2017,January,3,18,2,4,2,0,0,BB,TUR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,88.4,0,0,Check-Out,24-01-2017
Resort Hotel,0,180,2017,June,23,7,0,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,251,NULL,0,Transient,80,0,0,Check-Out,8/6/2017
Resort Hotel,0,242,2017,June,24,16,3,7,2,0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,436,NULL,0,Transient,72.2,0,0,Check-Out,26-06-2017
Resort Hotel,1,8,2017,March,9,3,1,2,2,0,0,BB,PRT,Groups,Corporate,0,0,0,D,D,2,No Deposit,NULL,223,0,Transient-Party,47,0,0,No-Show,3/3/2017
City Hotel,0,6,2017,May,22,29,1,1,1,0,0,BB,GRC,Aviation,Corporate,0,0,0,A,A,0,No Deposit,NULL,153,0,Transient,95,0,0,Check-Out,31-05-2017
City Hotel,0,0,2017,June,24,13,0,2,1,0,0,BB,USA,Online TA,TA/TO,1,0,1,D,D,0,No Deposit,9,NULL,0,Transient,150,0,1,Check-Out,15-06-2017
Resort Hotel,1,29,2017,February,8,21,2,6,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,NULL,0,Transient,44.66,0,1,Canceled,24-01-2017
Resort Hotel,1,115,2017,March,11,13,1,2,2,0,0,HB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,97.33,0,1,Canceled,13-03-2017
Resort Hotel,0,86,2017,June,24,14,2,5,2,0,0,HB,ESP,Online TA,TA/TO,0,0,0,C,C,1,No Deposit,240,NULL,0,Transient,218,1,2,Check-Out,21-06-2017
Resort Hotel,0,3,2017,January,4,27,0,1,2,0,0,BB,PRT,Direct,Direct,0,0,0,A,E,0,No Deposit,NULL,NULL,0,Transient,45,0,1,Check-Out,28-01-2017
Resort Hotel,0,10,2017,August,32,11,2,5,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40,40,0,Contract,135,0,3,Check-Out,18-08-2017
City Hotel,0,396,2017,June,26,25,2,0,2,0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6,NULL,0,Transient-Party,122.4,0,1,Check-Out,27-06-2017
Resort Hotel,0,4,2017,April,14,7,0,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,85,0,3,Check-Out,8/4/2017
City Hotel,1,476,2017,July,28,15,2,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,229,NULL,0,Transient-Party,112.67,0,0,Canceled,3/7/2017
City Hotel,0,254,2017,July,27,6,2,8,2,0,0,BB,DNK,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,NULL,0,Transient,89.1,0,2,Check-Out,16-07-2017
Resort Hotel,1,45,2017,August,32,10,1,3,2,0,0,BB,ROU,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,270,0,1,Canceled,30-07-2017
Resort Hotel,0,318,2017,July,28,15,2,5,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,177,NULL,0,Transient,152.1,0,0,Check-Out,22-07-2017
Resort Hotel,0,82,2017,June,23,8,2,5,2,0,0,BB,AUT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,152,0,1,Check-Out,15-06-2017
City Hotel,0,136,2017,June,25,22,0,3,2,0,0,BB,GBR,Direct,Direct,0,0,0,D,D,0,No Deposit,14,NULL,0,Transient,121.5,0,0,Check-Out,25-06-2017
City Hotel,1,240,2017,July,30,23,2,1,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,NULL,NULL,0,Transient,110,0,0,Canceled,25-11-2016
City Hotel,1,174,2017,June,22,1,0,2,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,58,NULL,0,Transient,100,0,0,Canceled,24-01-2017
City Hotel,0,48,2017,May,18,4,1,3,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,NULL,0,Transient,115.6,0,0,Check-Out,8/5/2017
Resort Hotel,1,16,2017,February,9,27,1,2,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,60,0,1,Canceled,21-02-2017
City Hotel,1,39,2017,June,24,11,2,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,7,NULL,0,Transient,112,0,1,Canceled,6/5/2017
City Hotel,0,196,2017,August,35,27,2,3,2,0,0,HB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,151.2,0,2,Check-Out,1/9/2017
Resort Hotel,0,10,2017,February,6,6,1,1,2,0,0,Undefined,PRT,Groups,Corporate,0,0,0,A,A,1,No Deposit,NULL,507,0,Transient-Party,90,0,0,Check-Out,8/2/2017
Resort Hotel,0,59,2017,August,34,26,2,3,2,0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,230,0,4,Check-Out,31-08-2017
City Hotel,0,114,2017,June,25,22,0,3,3,0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,5,No Deposit,9,NULL,0,Transient,154,0,3,Check-Out,25-06-2017
Resort Hotel,0,1,2017,February,5,4,0,1,2,1,0,BB,PRT,Direct,TA/TO,0,0,0,C,C,0,No Deposit,NULL,NULL,0,Transient,63,0,3,Check-Out,5/2/2017
City Hotel,0,1,2017,April,14,4,0,2,1,0,0,BB,PRT,Complementary,Direct,1,1,9,A,A,1,No Deposit,NULL,45,0,Transient,0,0,2,Check-Out,6/4/2017
City Hotel,1,158,2017,August,35,27,2,2,2,0,0,BB,CHE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,139.5,0,0,Canceled,16-04-2017
Resort Hotel,0,42,2017,August,34,23,2,7,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,314,NULL,0,Transient,205.18,0,0,Check-Out,1/9/2017
City Hotel,1,35,2017,April,16,18,0,3,1,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,132.33,0,0,Canceled,4/4/2017
